species,dbh,condition,ndvi_count,sample_ndvi,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file,method,preds
ACPL,18.1,Fair,10,0.59735780954361,0.600082963705063,0.013781745006342,0.575123369693756,0.61617636680603,0.041052997112274,park,LiDAR,good
ACPL,26.9,Fair,18,0.611353950368034,0.612105995416641,0.02120336213061,0.573802888393402,0.652456164360046,0.078653275966644,park,LiDAR,good
THPL,50,Fair,14,0.419775713767324,0.420837804675102,0.016734415871653,0.388711929321289,0.448814868927002,0.060102939605713,park,LiDAR,poor
PSME,25.2,Fair,10,0.587737971544266,0.593126446008682,0.018268089029528,0.555568993091583,0.615021169185638,0.059452176094055,park,LiDAR,good
ACMA,15.9,Fair,9,0.524350722630819,0.522817134857178,0.006360557858908,0.514730334281921,0.534735381603241,0.02000504732132,park,LiDAR,fair
PSME,32.9,Fair,17,0.535317508613362,0.540220141410828,0.020782119513043,0.483229219913483,0.5738924741745,0.090663254261017,park,LiDAR,good
ACPL,26.8,Fair,22,0.566201927987012,0.568811804056168,0.023524084899927,0.531842589378357,0.602993130683899,0.071150541305542,park,LiDAR,good
ACPL,27.1,Fair,12,0.582447499036789,0.584969967603683,0.023846654313426,0.544065952301025,0.617668032646179,0.073602080345154,park,LiDAR,good
ACPL,3.2,Fair,1.856926064634908,0.497750057090714,0.485901385545731,0.06972040917232,0.382832378149033,0.548964321613312,0.166131943464279,park,LiDAR,good
ACMA,16,Poor,1.207001942006925,0.526341989002451,0.526822805404663,0.003706752300199,0.521087646484375,0.531629323959351,0.010541677474976,park,LiDAR,fair
ACMA,21.5,Fair,3,0.548607687155406,0.544451951980591,0.037027171201407,0.505479753017426,0.595891356468201,0.090411603450775,park,LiDAR,fair
PSME,24.7,Fair,7,0.515924164227077,0.52121889591217,0.015758760479669,0.489820182323456,0.532411336898804,0.042591154575348,park,LiDAR,good
ACMA,41,Fair,103,0.53598870785491,0.552425563335419,0.061419396362593,0.336617738008499,0.6117023229599,0.275084584951401,park,LiDAR,fair
ACMA,24,Fair,16,0.505601052194834,0.503678292036057,0.012592993796251,0.479093074798584,0.52576869726181,0.046675622463226,park,LiDAR,fair
PSME,22.3,Fair,5,0.514288169145584,0.518571436405182,0.013645541868663,0.487730771303177,0.525703191757202,0.037972420454025,park,LiDAR,good
ACMA,33.2,Fair,9,0.569863114092085,0.573065638542175,0.014841765795783,0.546722948551178,0.595049321651459,0.048326373100281,park,LiDAR,good
PSME,24.3,Fair,5,0.544331705570221,0.543461322784424,0.006803828558834,0.537845373153687,0.557165265083313,0.019319891929626,park,LiDAR,good
ACPL,38.5,Good,32,0.569750284776092,0.573380500078201,0.026479166186804,0.501542150974274,0.616122245788574,0.114580094814301,park,LiDAR,good
PSME,36.8,Fair,13,0.453378739265295,0.455981433391571,0.038132776578846,0.382475405931473,0.502621054649353,0.12014564871788,park,LiDAR,good
ACMA,28.9,Fair,10,0.554200571775436,0.560457587242126,0.013230125119608,0.534288883209229,0.570934236049652,0.036645352840424,park,LiDAR,good
PSME,15.8,Fair,10,0.50242545902729,0.505147993564606,0.010755850768566,0.48086228966713,0.514615297317505,0.033753007650375,park,LiDAR,good
PSME,52.2,Fair,19,0.468879467562625,0.474491566419601,0.030032919484412,0.412330001592636,0.511567294597626,0.09923729300499,park,LiDAR,good
